description,youtube,title,organization,category,ps_number,domain_bucket,img
" NALCO Smelter Plant has 04 Pot lines with 08 Pot Rooms and each Pot Room having 120 Pots. There are 2 Cast Houses and 1 Rolling Plant as well. Hot metal is tapped through Tapping Ladles from 960 pots and then transferred into transport ladles on the metal transporting trucks (MTT) for delivery to the desired Cast House Location as per the requisition made by the individual Cast Houses and Rolling Plant. 

 N.B:        	
•	Maximum 16 nos. of trucks can be deployed in the Pot Rooms.
•	The liquid metal is tapped at around 960°C.
•	The Cast House desired temperature range for metal casting 720°C-760°C.
•	If the metal arrives at little above the casting temperature value then it is ready for casting and no fuel is required to be burnt in the metal holding casting furnaces.

 
Operation:

A.	Cast House–A (Operation) prepares Metal Planning Schedule for 04 shifts on daily basis and forwards Hard/Soft Copy to Pot Line (Operation).

B.	After receipt of the metal planning schedule the Pot Line (Operation) shift-in-charge prepares tapping schedule for his shift.
  
C.	From the tapping schedule ladle schedule is derived along with the metal dispatch against requirement by Cast House (Operation).

D.	Accordingly MTT deployment by the Pot Line (Operation) transport section is arranged for each Pot Line Room Location to the respective Cast House in a Merry-go-Round fashion during the shift hours. 

E.	Normally Cast House-B and Rolling Plant forward their shift wise ladle requirement, in terms of no. of ladles required by them in a shift, initially to the Transport Section of Pot Line (Operation).

F.	Balance left out hot metal available is dispatched to Cast House-A along with any adjustment required for handling of no. of ladles available with Pot Line (Operation) arising out of additional requirement raised or surplus metal available from Cast House-B and Rolling Plant Shops due to operational issues.

G.	Shift wise hot metal reconciliation between Pot Line (Operation) and Cast House is carried out on daily basis to tally the records with the quantity of the metal dispatched and received by the Cast House during the day against the metal planning made.

 
Problems:
The entire operation is manual as of now. There is no single window available for operation and coordination job. The transit time required between demand and supply involves various factors such as trip length, information on availability of vehicle, tracking of vehicle location. As a result, trucks may arrive later than the demanded time resulting in drop of loaded ladle metal temperature. All this leads to wastage of heat energy, longer wait time and longer metal truck haulage at times.

Moreover, Data portability, processing and reporting, all are manual. Hence a need for IOT based vehicle mounted pilot project which will save energy, time, etc. and help us greatly in avoiding chaos situations.

Improvements Desired:
To devise an IOT based vehicle mounted pilot project which shall ensure real time data connectivity on: 

Vehicle location tracking through LPS. (UWB  / RTLS / Indoor-Locating / LPS)
Information on availability of vehicle.
Live metal temperature data from ladle.
Vehicle call request with location.
Driver acknowledgement for call request.
Vehicle identification through code broadcast.

The proposed project will enable to achieve the following:

Reduced Metal Transporting Trucks turnaround time leading to lower haulage losses.
Reduced occurrences of ladle hot metal temperature drop due to smaller and faster haulage time.
More efficient control of vehicle logistics reducing chaos due to vehicle unavailability/in traceability.
Reduction of possibility of metal outage at either of Cast Houses, Rolling Plant.
Reduction in consumption of fuel oil required for reheating of liquid metal.
",,TRACKING and Control of Hot METAL TRANSPORTATION TRUCKS,NALCO,Hardware,PN313,Smart Vehicles,https://www.sih.gov.in/uploads/logo/20181128000451.png
" Problem Brief/Context -  These days we are pretty habituated of home- delivery system through e-commerce platform, however there is a big dependency on delivery boys and vehicles for timely delivery of the items. We could potentially use Drones for last mile delivery of items. While current prevalent addressing mechanism such as lat/long and post code are good enough for humans, these won’t work for drone delivery as all houses in a multi-storey building will have same lat/long or post-code. Design a solution which can help drones to identify each address / flat as a separate unit and deliver the item accordingly.",https://www.youtube.com/watch?v=vNySOrI2Ny8,Last Mile delivery in a multi-storey building of a society,Amazon Web Services,Hardware,AN318,Robotics & Drones,https://www.sih.gov.in/uploads/logo/20191129100805.png
" BACKGROUND: 
Traffic control for the people, by the people”. The smart phone-based Application captures the traffic flout and directly share it with traffic control team. App will have information about Traffic rules with best user interactive appearance. App will reduce Burden on traffic control team.  

PROBLEM STATEMENT: The traffic is huge problem in metro cities in India and to monitor it throughout a day it’s the difficult task. The Traffic control and monitoring team can control this up to certain extent. However, the main responsibilities lie on individual. The simple smart phone-based application has capability to record the rule breaking and flout traffic situation which will be shared with traffic control team (Traffic Police). In current situation, the traffic control team uses a camera to capture people with flouting traffic rules and along with this they have to control the city traffic too. It is difficult for them to keep an eye on both the activities at a time. To reduce their workload, an individual can install this app and will be able to share the evidence with traffic control team.  The awareness of this app will lead an individual to follow traffic rule strictly in order to avoid mistakes done by others. The app will have traffic rule guidelines which will help an individual to learn more about traffic rules. The app will provide credit to user on capturing valid traffic flout. The App can cover large scale to small scale Traffic rule evades (e. g. No Parking, Pedestrian crossing evades). Each individual can contribute toward traffic control, awareness, and behavior of individual toward traffic rules.   

OUTCOME EXPECTED: 
1. Application runs on Android and IOS app which is directly integrated with traffic control team.  
2. Distributed way of traffic maintenance. 

MATHWORKS PRODUCTS: FREE SOFTWARE WILL BE PROVIDED TO STUDENT TEAMS
ThingSpeak, Image processing toolbox, Computer vision toolbox, Mapping and Navigation, Image Acquisition toolbox, MATLAB Coder, Simulink and MATLAB

MATHWORKS WILL PROVIDE FREE SOFTWARE(MATLAB, SIMULINK AND TOOLBOXES) TO ALL STUDENT TEAMS PARTICIPATING IN THE HACKATHON",,Smart Traffic Monitoring and Controlling,MathWorks,Hardware,AG344,Smart Communication,https://www.sih.gov.in/uploads/logo/20191217091919.jpg
" Humans normally maintain a body temperature at 37°C, and maintenance of this relatively high temperature is critical to human survival.  Our bodies are designed to tightly control our internal temperature, no matter what the external temperature is.

Operating temperature in a CT/MRI/PET exam room  is normally between 18deg C to 26 Deg C and kept on an average ~22Deg C. Since room temperature is lower than your body temperature, contact surface of medical device (mattress, pad, support surfaces etc..) quickly absorb the heat from patient’s skin, making patient feel cold. This discomfort to patient during medical imaging /Interventional procedures increases the negative patient outcome due to patient shivering & unintended patient motion. Due to this cold temperature, patients may activate “brown” fat at contact surface which contains adrenergic receptors and generates heat by metabolizing glucose. This can show up on scans and potentially hide true “lesions” in PET imaging.

Currently hospitals uses blankets to cover or to enfold a great portion of the Patient's body during scan to trap radiant bodily heat and keeping the body warm. Hospitals uses a lot of blankets as each patient requires a new / washed blanket.. busy centers will go through on avg. 10 blankets in a day. 
Key Constraints: 
User adjustable temperature 
Automated temperature control to set temperature “ Range 20°C -40°C”. Quick response to set temperature within 3 min.
Mattress/Pad material:- Radiolucency , MR Compatibility, Biocompatible and Easy to clean.
Comfortable foam pad
Mattress/pad size: 2mtr length x 0.42 mtr width
On/Off switch and Indicator
Accurate measurement of temperature of warm mattress/bed (Tolerance +/-1 Deg)
Current temperature display of the heating pad/mattress all the time.
Fail safe heating mechanism-redundant temperature cut off mechanism
Goal : Develop a ~2 meter long warm patient mattress/pad to provide mild warmness to patients during Imaging systems (PET/CT/MRI/Interventional Imaging Systems)",,Warm patient mattress,GE Healthcare,Hardware,UP125,Healthcare & Biomedical Devices,https://www.sih.gov.in/uploads/logo/20181128160812.jpg
" Computer Aided Manufacturing (CAM) is the use of software and computer-controlled machinery to automate a manufacturing process. Based on that definition, you need three components for a CAM system to function: 
Software that tells a machine how to make a product by generating toolpaths.
Machinery that can turn raw material into a finished product.
Post Processing that converts toolpaths into a language machines can understand.

From high-efficiency roughing with Adaptive Clearing to simplified control of multi-axis machines with Tool Orientation, Autodesk Fusion 360 makes it easy to program your CNC machine, fast. Manufacture with 2.5, 3, 4, and 5-axis milling, probing, turning, mill-turning, and profiling operations paired with a powerful post engine all included alongside professional design tools. Students are supposed to use Fusion 360 Software to generate NC code with machine details & tool library. Mentor will help to manufacture the 
 metal component using CNC machine & NC code generated by participants.",https://www.youtube.com/watch?v=zqJgzPIDuAU,Design & Manufacturing of Connecting Rod,Autodesk,Hardware,BN148,Miscellaneous,https://www.sih.gov.in/uploads/logo/20191028154125.png
" Background

Increasing depletion of water resources generates the need to measure the water flow and find actual utilization. We need an innovative yet cost-effective solution that avoids plumbing need, conforms to compliance and gives a good user interface for end-users to see and control the usage

Specifically, the Product required :
a) should measure water flow WITHOUT HAVING TO CUT A pipeline and yet to obtain the volume of water that has flown through the pipe between two time points

b) support compliance
Just like any water flow meter, the product evolved should measure flow at an accuracy conforming to ISO4064 and/or Class B

c) Cost:
must be around Rs.5000/- - Rs.7000/- for a meter that can be used for 20mm pipeline",,Clamp-on flow metering,Gnarus Solutions,Hardware,NK227,Clean Water,https://www.sih.gov.in/uploads/logo/20191111121651.png
" Problem statement no. 2 :  
1.	CWC operates warehouses for scientific storage of 400 plus commodities across PAN INDIA. Many of the warehouses are located at remote places across PAN India. 

2.	The internet connectivity provided either through leased line or MPLS or Broadband or 2/3/4G. 

3.	This type of connectivity comes at high cost or at some places the connectivity is not feasible or is weak or fluctuates, which results in non usage of software application at these remote places.  
Expected deliverables: 
1.	Low cost IT solution preferably around software-controlled devices having capability to host multiple SIMs of different service providers of 2/3/4G Internet service providers.

2.	The device considers the 2/3/4G connectivity of one or more SIMs of different service provider, in case their signal strength is adequate. And accordingly provide the uninterrupted internet connectivity to the users at these remote warehouses.

3.	Additionally, the device can aggregate the 2/3/4G internet bandwidth of multiple SIMs of different Telecom companies for usage of more software users.

Sample data : Can visit warehouses for sampling. 

4.	Field Devices (Palmtops/Mobiles etc.) have more than one SIM slot. Requirement is to design a Hardware or Software solution, which is able to aggregate the 2/3/4 G internet bandwidth of multiple SIMs of different telecom service providers for the usage of the user in that device.",,Aggregated Internet Bandwidth solution,Central Warehousing Corporation,Hardware,BK264,Smart Communication,https://www.sih.gov.in/uploads/logo/no_image.png
" Manual operations of Microla and Biola Bottle filling, capping, labeling and packing, leading to spillage and wastage of manpower.  Possible solution: Automation of bottling of Microla and Biola with development of assembly line for filling of bottle, capping, labeling and final packing.",,"Manual operations of Microla and Biola Bottle filling, capping, labelling and packing, leading to spillage and wastage of manpower",RCF,Hardware,SG288,Agriculture and Rural Development,https://www.sih.gov.in/uploads/logo/no_image.png
" Swachh Bharat Abhiyan (SBA) or Swachh Bharat Mission (SBM) is a nation-wide campaign in India that aims to clean up the streets, roads and infrastructure of India's cities, towns, urban and rural areas. With proliferation of Internet of Things (IoT) devices and sensor. Cisco can play a big role automating alerts and actions in buildings, campuses or cities. Student teams are expected to develop a protocol to have a communication with the IoT sensors and transfer the relevant data. Solution Expected: Build a multi-protocol application would truly help realize the vision of IoT with devices that span across use cases and cost points, and deliver meaningful impact on social initiatives such as Swachh Bharat” One such example could be the following: a smart garbage sensor connecting over a LoRa protocol to the wireless Access Point and a Docker based application executing on the Access Point sensing that the garbage can may be full and needs attention. Upon making such an inference, the application may choose to unlock a Zigbee lock attached to the door as well as turning on a Zigbee light in the location closest to the garbage bin. Such a multi-protocol application would truly help realize the vision of IoT with devices that span across use cases and cost points, and deliver meaningful impact on social initiatives such as Swachh Bharat” Tech recommendation: Cisco latest generation of Wi-Fi 6 access points - the Catalyst 9120 is truly multi-lingual with diverse radio capabilities to address the needs of a fragmented world of IoT protocols. In addition to delivering Wi-Fi, the 9120 AP also delivers Bluetooth 5.0, Zigbee, and Thread capabilities with the ability to add other radios via a USB interface. The Catalyst 9120 AP also has the unique capability of executing Docker-style containerized applications that could make use of the IoT radios and deliver use cases through a unified wireless infrastructure for customers, thereby reducing cost and complexity. Cisco would love you to think audaciously about other problem statements and use cases that can leverage such a converged wireless multi-protocol capability with containerized edge applications. Cisco look forward to seeing your creations! Applications can be prototyped using a Raspberry Pi with 2 different radios. The evaluations shall be based on the following criteria 1. Depth and research to understand how technology can be used for Swachh Bharat Abhiyan (SBA) 2. Depth of understanding of Cisco 9120 AP product capabilities & use cases. 3. Depth and understanding of technologies proposed in solution.

Resources: 

https://www.cisco.com/c/en/us/products/collateral/wireless/catalyst-9120ax-series-
access-points/datasheet-c78-742115.html",,Cisco Wireless Access + IoT App Hosting,Cisco DEVNET,Hardware,AM290,Sustainable Environment,https://www.sih.gov.in/uploads/logo/20191129180025.png
" Before fully functional helicopters, in 1960's people are using helicopter turbo-propellers for vertical takeoff and landing of planes. Helicopter Turbo-props are the propellers having propulsion system mounted at tip of the blades. The major idea about this is to reduce the travel cost per passenger as turbo props are more efficient, provide high endurance than that of the normal helicopter blades and provides two times the speed to the plane. On the other hand unbearable noise is one of the issue in helicopter turbo-props. In this problem statement, students are supposed to make the working prototype of helicopter turbo-props. These propellers should be designed in such a way that, it should lift and land a foam model of an aircraft weighing 700 grams. Successful flight test of the same is mandatory for the completion of the project.",,Design and Development of working prototype of Helicopter Turbo-propellers,Bharat Forge Ltd,Hardware,SP292,Robotics & Drones,https://www.sih.gov.in/uploads/logo/no_image.png
" NALCO Smelter Plant has 04 Pot lines with 08 Pot Rooms and each Pot Room having 120 Pots. There are 2 Cast Houses and 1 Rolling Plant as well. Hot metal is tapped through Tapping Ladles from 960 pots and then transferred into transport ladles on the metal transporting trucks (MTT) for delivery to the desired Cast House Location as per the requisition made by the individual Cast Houses and Rolling Plant. 

 N.B:        	
•	Maximum 16 nos. of trucks can be deployed in the Pot Rooms.
•	The liquid metal is tapped at around 960°C.
•	The Cast House desired temperature range for metal casting 720°C-760°C.
•	If the metal arrives at little above the casting temperature value then it is ready for casting and no fuel is required to be burnt in the metal holding casting furnaces.

 
Operation:

A.	Cast House–A (Operation) prepares Metal Planning Schedule for 04 shifts on daily basis and forwards Hard/Soft Copy to Pot Line (Operation).

B.	After receipt of the metal planning schedule the Pot Line (Operation) shift-in-charge prepares tapping schedule for his shift.
  
C.	From the tapping schedule ladle schedule is derived along with the metal dispatch against requirement by Cast House (Operation).

D.	Accordingly MTT deployment by the Pot Line (Operation) transport section is arranged for each Pot Line Room Location to the respective Cast House in a Merry-go-Round fashion during the shift hours. 

E.	Normally Cast House-B and Rolling Plant forward their shift wise ladle requirement, in terms of no. of ladles required by them in a shift, initially to the Transport Section of Pot Line (Operation).

F.	Balance left out hot metal available is dispatched to Cast House-A along with any adjustment required for handling of no. of ladles available with Pot Line (Operation) arising out of additional requirement raised or surplus metal available from Cast House-B and Rolling Plant Shops due to operational issues.

G.	Shift wise hot metal reconciliation between Pot Line (Operation) and Cast House is carried out on daily basis to tally the records with the quantity of the metal dispatched and received by the Cast House during the day against the metal planning made.

 
Problems:
The entire operation is manual as of now. There is no single window available for operation and coordination job. The transit time required between demand and supply involves various factors such as trip length, information on availability of vehicle, tracking of vehicle location. As a result, trucks may arrive later than the demanded time resulting in drop of loaded ladle metal temperature. All this leads to wastage of heat energy, longer wait time and longer metal truck haulage at times.

Moreover, Data portability, processing and reporting, all are manual. Hence a need for IOT based vehicle mounted pilot project which will save energy, time, etc. and help us greatly in avoiding chaos situations.

Improvements Desired:
To devise an IOT based vehicle mounted pilot project which shall ensure real time data connectivity on: 

Vehicle location tracking through LPS. (UWB  / RTLS / Indoor-Locating / LPS)
Information on availability of vehicle.
Live metal temperature data from ladle.
Vehicle call request with location.
Driver acknowledgement for call request.
Vehicle identification through code broadcast.

The proposed project will enable to achieve the following:

Reduced Metal Transporting Trucks turnaround time leading to lower haulage losses.
Reduced occurrences of ladle hot metal temperature drop due to smaller and faster haulage time.
More efficient control of vehicle logistics reducing chaos due to vehicle unavailability/in traceability.
Reduction of possibility of metal outage at either of Cast Houses, Rolling Plant.
Reduction in consumption of fuel oil required for reheating of liquid metal.
",,TRACKING and Control of Hot METAL TRANSPORTATION TRUCKS,NALCO,Hardware,PN313,Smart Vehicles,https://www.sih.gov.in/uploads/logo/20181128000451.png
" Problem Brief/Context -  These days we are pretty habituated of home- delivery system through e-commerce platform, however there is a big dependency on delivery boys and vehicles for timely delivery of the items. We could potentially use Drones for last mile delivery of items. While current prevalent addressing mechanism such as lat/long and post code are good enough for humans, these won’t work for drone delivery as all houses in a multi-storey building will have same lat/long or post-code. Design a solution which can help drones to identify each address / flat as a separate unit and deliver the item accordingly.",https://www.youtube.com/watch?v=vNySOrI2Ny8,Last Mile delivery in a multi-storey building of a society,Amazon Web Services,Hardware,AN318,Robotics & Drones,https://www.sih.gov.in/uploads/logo/20191129100805.png
" BACKGROUND: 
Traffic control for the people, by the people”. The smart phone-based Application captures the traffic flout and directly share it with traffic control team. App will have information about Traffic rules with best user interactive appearance. App will reduce Burden on traffic control team.  

PROBLEM STATEMENT: The traffic is huge problem in metro cities in India and to monitor it throughout a day it’s the difficult task. The Traffic control and monitoring team can control this up to certain extent. However, the main responsibilities lie on individual. The simple smart phone-based application has capability to record the rule breaking and flout traffic situation which will be shared with traffic control team (Traffic Police). In current situation, the traffic control team uses a camera to capture people with flouting traffic rules and along with this they have to control the city traffic too. It is difficult for them to keep an eye on both the activities at a time. To reduce their workload, an individual can install this app and will be able to share the evidence with traffic control team.  The awareness of this app will lead an individual to follow traffic rule strictly in order to avoid mistakes done by others. The app will have traffic rule guidelines which will help an individual to learn more about traffic rules. The app will provide credit to user on capturing valid traffic flout. The App can cover large scale to small scale Traffic rule evades (e. g. No Parking, Pedestrian crossing evades). Each individual can contribute toward traffic control, awareness, and behavior of individual toward traffic rules.   

OUTCOME EXPECTED: 
1. Application runs on Android and IOS app which is directly integrated with traffic control team.  
2. Distributed way of traffic maintenance. 

MATHWORKS PRODUCTS: FREE SOFTWARE WILL BE PROVIDED TO STUDENT TEAMS
ThingSpeak, Image processing toolbox, Computer vision toolbox, Mapping and Navigation, Image Acquisition toolbox, MATLAB Coder, Simulink and MATLAB

MATHWORKS WILL PROVIDE FREE SOFTWARE(MATLAB, SIMULINK AND TOOLBOXES) TO ALL STUDENT TEAMS PARTICIPATING IN THE HACKATHON",,Smart Traffic Monitoring and Controlling,MathWorks,Hardware,AG344,Smart Communication,https://www.sih.gov.in/uploads/logo/20191217091919.jpg
" Humans normally maintain a body temperature at 37°C, and maintenance of this relatively high temperature is critical to human survival.  Our bodies are designed to tightly control our internal temperature, no matter what the external temperature is.

Operating temperature in a CT/MRI/PET exam room  is normally between 18deg C to 26 Deg C and kept on an average ~22Deg C. Since room temperature is lower than your body temperature, contact surface of medical device (mattress, pad, support surfaces etc..) quickly absorb the heat from patient’s skin, making patient feel cold. This discomfort to patient during medical imaging /Interventional procedures increases the negative patient outcome due to patient shivering & unintended patient motion. Due to this cold temperature, patients may activate “brown” fat at contact surface which contains adrenergic receptors and generates heat by metabolizing glucose. This can show up on scans and potentially hide true “lesions” in PET imaging.

Currently hospitals uses blankets to cover or to enfold a great portion of the Patient's body during scan to trap radiant bodily heat and keeping the body warm. Hospitals uses a lot of blankets as each patient requires a new / washed blanket.. busy centers will go through on avg. 10 blankets in a day. 
Key Constraints: 
User adjustable temperature 
Automated temperature control to set temperature “ Range 20°C -40°C”. Quick response to set temperature within 3 min.
Mattress/Pad material:- Radiolucency , MR Compatibility, Biocompatible and Easy to clean.
Comfortable foam pad
Mattress/pad size: 2mtr length x 0.42 mtr width
On/Off switch and Indicator
Accurate measurement of temperature of warm mattress/bed (Tolerance +/-1 Deg)
Current temperature display of the heating pad/mattress all the time.
Fail safe heating mechanism-redundant temperature cut off mechanism
Goal : Develop a ~2 meter long warm patient mattress/pad to provide mild warmness to patients during Imaging systems (PET/CT/MRI/Interventional Imaging Systems)",,Warm patient mattress,GE Healthcare,Hardware,UP125,Healthcare & Biomedical Devices,https://www.sih.gov.in/uploads/logo/20181128160812.jpg
" Computer Aided Manufacturing (CAM) is the use of software and computer-controlled machinery to automate a manufacturing process. Based on that definition, you need three components for a CAM system to function: 
Software that tells a machine how to make a product by generating toolpaths.
Machinery that can turn raw material into a finished product.
Post Processing that converts toolpaths into a language machines can understand.

From high-efficiency roughing with Adaptive Clearing to simplified control of multi-axis machines with Tool Orientation, Autodesk Fusion 360 makes it easy to program your CNC machine, fast. Manufacture with 2.5, 3, 4, and 5-axis milling, probing, turning, mill-turning, and profiling operations paired with a powerful post engine all included alongside professional design tools. Students are supposed to use Fusion 360 Software to generate NC code with machine details & tool library. Mentor will help to manufacture the 
 metal component using CNC machine & NC code generated by participants.",https://www.youtube.com/watch?v=zqJgzPIDuAU,Design & Manufacturing of Connecting Rod,Autodesk,Hardware,BN148,Miscellaneous,https://www.sih.gov.in/uploads/logo/20191028154125.png
" Background

Increasing depletion of water resources generates the need to measure the water flow and find actual utilization. We need an innovative yet cost-effective solution that avoids plumbing need, conforms to compliance and gives a good user interface for end-users to see and control the usage

Specifically, the Product required :
a) should measure water flow WITHOUT HAVING TO CUT A pipeline and yet to obtain the volume of water that has flown through the pipe between two time points

b) support compliance
Just like any water flow meter, the product evolved should measure flow at an accuracy conforming to ISO4064 and/or Class B

c) Cost:
must be around Rs.5000/- - Rs.7000/- for a meter that can be used for 20mm pipeline",,Clamp-on flow metering,Gnarus Solutions,Hardware,NK227,Clean Water,https://www.sih.gov.in/uploads/logo/20191111121651.png
" Problem statement no. 2 :  
1.	CWC operates warehouses for scientific storage of 400 plus commodities across PAN INDIA. Many of the warehouses are located at remote places across PAN India. 

2.	The internet connectivity provided either through leased line or MPLS or Broadband or 2/3/4G. 

3.	This type of connectivity comes at high cost or at some places the connectivity is not feasible or is weak or fluctuates, which results in non usage of software application at these remote places.  
Expected deliverables: 
1.	Low cost IT solution preferably around software-controlled devices having capability to host multiple SIMs of different service providers of 2/3/4G Internet service providers.

2.	The device considers the 2/3/4G connectivity of one or more SIMs of different service provider, in case their signal strength is adequate. And accordingly provide the uninterrupted internet connectivity to the users at these remote warehouses.

3.	Additionally, the device can aggregate the 2/3/4G internet bandwidth of multiple SIMs of different Telecom companies for usage of more software users.

Sample data : Can visit warehouses for sampling. 

4.	Field Devices (Palmtops/Mobiles etc.) have more than one SIM slot. Requirement is to design a Hardware or Software solution, which is able to aggregate the 2/3/4 G internet bandwidth of multiple SIMs of different telecom service providers for the usage of the user in that device.",,Aggregated Internet Bandwidth solution,Central Warehousing Corporation,Hardware,BK264,Smart Communication,https://www.sih.gov.in/uploads/logo/no_image.png
" Manual operations of Microla and Biola Bottle filling, capping, labeling and packing, leading to spillage and wastage of manpower.  Possible solution: Automation of bottling of Microla and Biola with development of assembly line for filling of bottle, capping, labeling and final packing.",,"Manual operations of Microla and Biola Bottle filling, capping, labelling and packing, leading to spillage and wastage of manpower",RCF,Hardware,SG288,Agriculture and Rural Development,https://www.sih.gov.in/uploads/logo/no_image.png
" Swachh Bharat Abhiyan (SBA) or Swachh Bharat Mission (SBM) is a nation-wide campaign in India that aims to clean up the streets, roads and infrastructure of India's cities, towns, urban and rural areas. With proliferation of Internet of Things (IoT) devices and sensor. Cisco can play a big role automating alerts and actions in buildings, campuses or cities. Student teams are expected to develop a protocol to have a communication with the IoT sensors and transfer the relevant data. Solution Expected: Build a multi-protocol application would truly help realize the vision of IoT with devices that span across use cases and cost points, and deliver meaningful impact on social initiatives such as Swachh Bharat” One such example could be the following: a smart garbage sensor connecting over a LoRa protocol to the wireless Access Point and a Docker based application executing on the Access Point sensing that the garbage can may be full and needs attention. Upon making such an inference, the application may choose to unlock a Zigbee lock attached to the door as well as turning on a Zigbee light in the location closest to the garbage bin. Such a multi-protocol application would truly help realize the vision of IoT with devices that span across use cases and cost points, and deliver meaningful impact on social initiatives such as Swachh Bharat” Tech recommendation: Cisco latest generation of Wi-Fi 6 access points - the Catalyst 9120 is truly multi-lingual with diverse radio capabilities to address the needs of a fragmented world of IoT protocols. In addition to delivering Wi-Fi, the 9120 AP also delivers Bluetooth 5.0, Zigbee, and Thread capabilities with the ability to add other radios via a USB interface. The Catalyst 9120 AP also has the unique capability of executing Docker-style containerized applications that could make use of the IoT radios and deliver use cases through a unified wireless infrastructure for customers, thereby reducing cost and complexity. Cisco would love you to think audaciously about other problem statements and use cases that can leverage such a converged wireless multi-protocol capability with containerized edge applications. Cisco look forward to seeing your creations! Applications can be prototyped using a Raspberry Pi with 2 different radios. The evaluations shall be based on the following criteria 1. Depth and research to understand how technology can be used for Swachh Bharat Abhiyan (SBA) 2. Depth of understanding of Cisco 9120 AP product capabilities & use cases. 3. Depth and understanding of technologies proposed in solution.

Resources: 

https://www.cisco.com/c/en/us/products/collateral/wireless/catalyst-9120ax-series-
access-points/datasheet-c78-742115.html",,Cisco Wireless Access + IoT App Hosting,Cisco DEVNET,Hardware,AM290,Sustainable Environment,https://www.sih.gov.in/uploads/logo/20191129180025.png
" Before fully functional helicopters, in 1960's people are using helicopter turbo-propellers for vertical takeoff and landing of planes. Helicopter Turbo-props are the propellers having propulsion system mounted at tip of the blades. The major idea about this is to reduce the travel cost per passenger as turbo props are more efficient, provide high endurance than that of the normal helicopter blades and provides two times the speed to the plane. On the other hand unbearable noise is one of the issue in helicopter turbo-props. In this problem statement, students are supposed to make the working prototype of helicopter turbo-props. These propellers should be designed in such a way that, it should lift and land a foam model of an aircraft weighing 700 grams. Successful flight test of the same is mandatory for the completion of the project.",,Design and Development of working prototype of Helicopter Turbo-propellers,Bharat Forge Ltd,Hardware,SP292,Robotics & Drones,https://www.sih.gov.in/uploads/logo/no_image.png
" NALCO Smelter Plant has 04 Pot lines with 08 Pot Rooms and each Pot Room having 120 Pots. There are 2 Cast Houses and 1 Rolling Plant as well. Hot metal is tapped through Tapping Ladles from 960 pots and then transferred into transport ladles on the metal transporting trucks (MTT) for delivery to the desired Cast House Location as per the requisition made by the individual Cast Houses and Rolling Plant. 

 N.B:        	
•	Maximum 16 nos. of trucks can be deployed in the Pot Rooms.
•	The liquid metal is tapped at around 960°C.
•	The Cast House desired temperature range for metal casting 720°C-760°C.
•	If the metal arrives at little above the casting temperature value then it is ready for casting and no fuel is required to be burnt in the metal holding casting furnaces.

 
Operation:

A.	Cast House–A (Operation) prepares Metal Planning Schedule for 04 shifts on daily basis and forwards Hard/Soft Copy to Pot Line (Operation).

B.	After receipt of the metal planning schedule the Pot Line (Operation) shift-in-charge prepares tapping schedule for his shift.
  
C.	From the tapping schedule ladle schedule is derived along with the metal dispatch against requirement by Cast House (Operation).

D.	Accordingly MTT deployment by the Pot Line (Operation) transport section is arranged for each Pot Line Room Location to the respective Cast House in a Merry-go-Round fashion during the shift hours. 

E.	Normally Cast House-B and Rolling Plant forward their shift wise ladle requirement, in terms of no. of ladles required by them in a shift, initially to the Transport Section of Pot Line (Operation).

F.	Balance left out hot metal available is dispatched to Cast House-A along with any adjustment required for handling of no. of ladles available with Pot Line (Operation) arising out of additional requirement raised or surplus metal available from Cast House-B and Rolling Plant Shops due to operational issues.

G.	Shift wise hot metal reconciliation between Pot Line (Operation) and Cast House is carried out on daily basis to tally the records with the quantity of the metal dispatched and received by the Cast House during the day against the metal planning made.

 
Problems:
The entire operation is manual as of now. There is no single window available for operation and coordination job. The transit time required between demand and supply involves various factors such as trip length, information on availability of vehicle, tracking of vehicle location. As a result, trucks may arrive later than the demanded time resulting in drop of loaded ladle metal temperature. All this leads to wastage of heat energy, longer wait time and longer metal truck haulage at times.

Moreover, Data portability, processing and reporting, all are manual. Hence a need for IOT based vehicle mounted pilot project which will save energy, time, etc. and help us greatly in avoiding chaos situations.

Improvements Desired:
To devise an IOT based vehicle mounted pilot project which shall ensure real time data connectivity on: 

Vehicle location tracking through LPS. (UWB  / RTLS / Indoor-Locating / LPS)
Information on availability of vehicle.
Live metal temperature data from ladle.
Vehicle call request with location.
Driver acknowledgement for call request.
Vehicle identification through code broadcast.

The proposed project will enable to achieve the following:

Reduced Metal Transporting Trucks turnaround time leading to lower haulage losses.
Reduced occurrences of ladle hot metal temperature drop due to smaller and faster haulage time.
More efficient control of vehicle logistics reducing chaos due to vehicle unavailability/in traceability.
Reduction of possibility of metal outage at either of Cast Houses, Rolling Plant.
Reduction in consumption of fuel oil required for reheating of liquid metal.
",,TRACKING and Control of Hot METAL TRANSPORTATION TRUCKS,NALCO,Hardware,PN313,Smart Vehicles,https://www.sih.gov.in/uploads/logo/20181128000451.png
